Audio file	Start	End	Text
homostoria_01	0:04:10	0:04:12	Aku nggak tau itu dari bahasa apa.
homostoria_01	0:04:12	0:04:13	Kamu tau, Cub, itu dari bahasa apa?
homostoria_01	0:04:13	0:04:15	Kayaknya nggak dari bahasa mana-mana ya?
homostoria_01	0:04:15	0:04:22	Nggak tau. Tapi kemungkinan dua kata itu akarnya, mungkin ya, itu dari bahasa Latin ya.
homostoria_01	0:04:22	0:04:23	Om gitu ya, Homme.
homostoria_01	0:04:23	0:04:27	Kalau dalam bahasa Prancis kan "Homme" atau "Om". 
homostoria_01	0:04:27	0:04:31	Atau mungkin dalam bahasa Spanyol itu "Hombre". 
homostoria_01	0:04:31	0:05:02	Apa namanya, laki-laki gitu. Manusia atau laki-laki. Kalau "Storia", ya mungkin yang paling dekat dari kata "Storia" itu adalah "Historia".Nah, ini juga unik-unik nih. Historia ini diturunkannya jadi "Storia" sama "History" gitukan. Yang intinya sama cerita gitu. Kalau "Storia" ini mungkin fokusnya ke cerita ya. Jadi dalam bahasa Spanyol sama bahasa Perancis itu Historia gItu jadi cerita Mungkin ya, kita nggak tau.
homostoria_01	0:05:02	0:05:05	Jadi ini PR buat pendengar sebenernya.
homostoria_01	0:05:05	0:05:13	Nanti kalau pendengar tau ya jawabannya bisa kirim email ke salah satu dari kami ya.
homostoria_01	0:05:13	0:05:16	Mungkin, bisa ke Mas Hans atau Mas Yakub gitu aja.
homostoria_01	0:05:16	0:05:19	Oke.
homostoria_01	0:05:19	0:05:22	Jadi maksudnya sinar Homostoria ini.
homostoria_01	0:05:22	0:05:27	Jadikan pokoknya Homostoria maksudnya "manusia" dan "cerita", manusia-cerita.
homostoria_01	0:05:27	0:05:33	Seperti tagline-nya tadi, manusia itu suka cerita, bercerita, dan diceritakan.
homostoria_01	0:05:33	0:05:42	Jadi di sini kita mencoba ngumpulin semua orang. Segala pendengar yang suka dengan cerita.
homostoria_01	0:05:42	0:05:45	Kita kumpulin jadi satu.
homostoria_01	0:05:45	0:06:13	Cerita-cerita apa yang menurut kita sukain atau yang menurut kita menarik untuk dibahas. Kita nanti akan coba sedikit-sedikit kulik di siniar Homostoria ini. Begitu, dan mungkin juga. Bukan mungkin juga ya. Emang karena kita latar belakangnya tadi jurusan bahasa, terutama sastranya. Kita selalu beranjak dari sebuah narasi.
homostoria_01	0:06:13	0:06:20	Kebetulan narasinya narasi fiksi. Dan fiksi, dan fiksi itu kita bisa bahas lebih panjang lagi.
homostoria_01	0:06:20	0:06:46	Jadi kita dari zaman kuliah atau bahkan dari kecil, kita sudah diberi narasi-narasi yang menarik. Dan sadar atau enggak kita tuh lahir atau tumbuh berkembang bersama narasi atau cerita-cerita. Entah itu dalam bentuk nasihat orang tua atau cerita dari abang-abangan sampai kita jadi kayak sekarang gini. Kalau kamu gimana Job?
homostoria_01	0:06:46	0:06:50	Ya, kalau menurutku itu sangat betul banget ya. 
homostoria_01	0:06:50	0:06:54	Bahwa manusia itu dan cerita tuh gak bisa dilepasin gitu ya.
homostoria_01	0:06:54	0:07:20	Gak bisa terlepaskan. Kayak misal kita ngomongin apa, e... membicarakan tentang manusia pertama. Pasti kita ngomongin cerita bagaimana sih ceritanya manusia pertama gitu ya. Terus habis itu kita ngomongin tentang perjalanan dari tanaman, gitu misal. Ya pasti ada ceritanya kan bagaimana tanaman itu berproses dari yang namanya dari lumut, dari apa namanya, apa-apa-apa.
homostoria_01	0:07:20	0:07:26	Benih ya dari biji.  Iya, ho'oh. Misal kayak gitu tuh, pasti kan ada prosesnya, ada ceritanya gitu.
homostoria_01	0:07:26	0:07:33	Jadi menurutku, e... "Storia" atau cerita ini sebenarnya tuh, ya ada dalam pada diri manusia gitu.
homostoria_01	0:07:33	0:07:38	Storia atau cerita itu tuh, ada pada setiap manusia masing-masing.
homostoria_01	0:07:38	0:07:41	Bahkan tuh ya, mungkin ya Hans ya.
homostoria_01	0:07:41	0:07:55	Kalau, apa. Kalau aku pribadi, kadang tuh aku memikirkan gitu. Apakah sebenarnya tuh, kita ini tuh, kita ini nih, aktor gitu sebenernya? Kita tuh aktor dari suatu cinta, cerita dari yang sudah tertulis gitu.
homostoria_01	0:07:55	0:07:57	Oke, sedap.
homostoria_01	0:07:57	0:07:58	Iya, itu dia.
homostoria_01	0:07:58	0:08:01	Sepertinya aku pikir setiap dari kita pasti ada cerita ga sih?
homostoria_01	0:08:01	0:08:03	Setiap dari kita pasti ada cerita.
homostoria_01	0:08:03	0:08:10	Cuman, yang menurutku lepas dari kebanyakan masyarakat itu adalah tukang cerita.
homostoria_01	0:08:10	0:08:15	Atau pre-storyteller, atau orang yang menceritakan ulang gitu.
homostoria_01	0:08:15	0:08:35	Kita selalu bangga. Kalau mungkin di era digital atau era digital, atau mungkin post industri gitu ya. Selama era industri, kita sangat dekat dengan yang namanya author, atau penulis, pemiliki hak cipta.
homostoria_01	0:08:35	0:09:05	E..., kepemilikan pribadi itu amat sangat kerasa gitu. Padahal, menurutku dulu jauh dari e... era modernisme katakanlah. Modernisme itu kita semua memiliki kebersamaan yaitu adalah cerita, bahwa setiap orang bisa menceritakan dirinya sendiri. Setiap orang bisa menceritakan apa yang dia dengar. Aku pikir podcast ini pun menjadi tukang cerita itu sendiri sih, kalau aku boleh menyebut ya.
homostoria_01	0:09:05	0:09:07	Kita itu adalah tukang cerita.
homostoria_01	0:09:07	0:09:24	Selain untuk cerita kita sendiri, kita adalah tukang cerita atau menceritakan e... cerita dari yang kita dapat. Mungkin, bisa dari keluarga, bisa dari teman, bisa dari dosen, atau mungkin dari klien kita, atau mungkin dari siapapun ya.
homostoria_01	0:09:24	0:09:32	Atau mungkin justru ya, walaupun kita bikin siniar ini, atau podcast ini, kita justru menceritakan podcast yang lain gitu kan. Jadi...
homostoria_01	0:09:32	0:09:42	Mungkin di situ ya, poin dari sesuatu yang disebut tradisi dan lintas generasi atau mungkin lintas usia.
homostoria_01	0:09:42	0:10:06	Jadi, e... selalu ada keberlanjutan gitu. Selalu ada continuation. Ada keberlanjutan yang, yang mana satu kisah itu dirajut dengan kisah-kisah lain atau dengan penutur-penutur atau tukang cerita lain, yang mungkin itu menjadi jobdesk kita ya, di dalam siniar ini. Gimana kalau kamu, Hans?
homostoria_01	0:10:06	0:10:12	Oke. Oke, mungkin itu aja. Kita mencoba disini menjadi apa?
homostoria_01	0:10:12	0:10:18	Bahasa Melayu dulu sebutan apa?
homostoria_01	0:10:18	0:10:19	Pujanga mungkin?
homostoria_01	0:10:19	0:10:21	Wow. Itu jadi sebuah pujangga?
homostoria_01	0:10:21	0:10:27	Ehem, boleh. Mungkin di Barat, a... istilahnya Barth...
homostoria_01	0:10:27	0:10:30	Ehe, Apa ini kalau lebih lanjut?
homostoria_01	0:10:30	0:10:32	Kalau Barth itu dia...
homostoria_01	0:10:32	0:10:36	Sebenarnya nggak dia, nggak persenya cerita doang.
homostoria_01	0:10:36	0:10:39	Biasanya Barth itu dia...
homostoria_01	0:10:39	0:10:40	Apa namanya?
homostoria_01	0:10:40	0:10:41	Dia pakai alat musik.
homostoria_01	0:10:41	0:10:43	Jadi dia menceritakan...
homostoria_01	0:10:43	0:10:47	ulang, sebuah kejadian dari desa sebelah atau pinggir sebelah.
homostoria_01	0:10:47	0:10:50	Oh, ini bayang-bayangnya kontesnya cuma abad pertengahan ya.
homostoria_01	0:10:50	0:10:52	Abad pertengahan.
homostoria_01	0:10:52	0:10:54	Ya, jaman-jamannya...
homostoria_01	0:10:54	0:10:55	Ya, abad pertengahan ya.
homostoria_01	0:10:55	0:10:57	Yang jaman-jamannya viking-viking gitu lho.
homostoria_01	0:10:57	0:11:05	Ya. Jadi cerita pake alat musik, pake harpa, atau mungkin pake alat-alat musikan yang lain.
homostoria_01	0:11:05	0:11:07	Itu dia di Town Hall.
homostoria_01	0:11:07	0:11:09	Town Hall bahasa Indonesianya apa sih?
homostoria_01	0:11:09	0:11:12	E..., mungkin alun-alun kali ya. Atau mungkin...
homostoria_01	0:11:12	0:11:15	Ya mungkin semacam alun-alun. Pokoknya tempat-tempat ini tempat berkumpul lah.
homostoria_01	0:11:15	0:11:18	Tempat berkumpul orang-orang di komunitas itu.
homostoria_01	0:11:18	0:11:27	Terus nanti si Bart itu nyanyi yang isi liriknya itu menceritakan kejayaan seorang pahlawan.
homostoria_01	0:11:27	0:11:33	Atau mungkin juga kekuasaan seorang raja dan segala macem.
homostoria_01	0:11:33	0:11:35	Itu itulah, tugasnya itu itulah.
homostoria_01	0:11:35	0:11:37	Dia menceritakan ulang.
homostoria_01	0:11:37	0:11:40	Tradisi lisannya kuat.
homostoria_01	0:11:40	0:12:07	Mungkin itu. Jadi, a... . Kita memposisikan diri disini sebagai tukang cerita tadi Cub ya. Oke, tadi Yacub sempet, a... nyinggung-nyinggung soal bisa jadi kita yang menceritakan cerita lain di podcast ini atau menceritakan ulang podcast lain.
homostoria_01	0:12:07	0:12:19	Nah, itu sama persis dengan topik episode kita pada kali ini yaitu siniar-siniar atau podcast-podcast favorit dari aku, Hans, dan Yacub.
homostoria_01	0:12:19	0:12:23	Tapi sebelum kita masuk, kayaknya ada baiknya kalau kita coba-coba gali nih.
homostoria_01	0:12:23	0:12:26	Kita cari-cari sedikit, podcast atau siniar itu apa sih?
homostoria_01	0:12:26	0:12:38	Ya, kalau podcast atau siniar. Ya, podcast katanya bahasa Inggris, siniar itu kita sudah menyerap ya. Kita punya independensi dalam berbahasa Indonesia, ya.
homostoria_01	0:12:38	0:12:41	Atau mungkin, ini harus saya bilangnya sendiri.
homostoria_01	0:12:41	0:12:45	Jadi, itu sebenarnya sama ya.
homostoria_01	0:12:45	0:13:08	Satu benda yang sama, tapi kita hanya membedakan istilahnya aja, gitu. Kalau itu dari kacamata padang secara umum, gitu. Tapi kalau podcast atau siniar sendiri secara konten, ya selain tadi berisi dengan cerita gitu ya. Mungkin ada kaitannya dengan platform. Nah, platform ini udah jadi bahasa Indonesia ya. Jadi...
homostoria_01	0:13:08	0:13:09	Aku gak bisa terjemahin. Oh, ya, benar, bener, bener, bener, bener!
homostoria_01	0:13:09	0:13:35	Ya, jadi, jadi platform atau tempat lah ya. Tempat dimana, e..., teknologi itu tuh berperan lebih banyak mungkin ya. Karena kita bisa melihat bahwa platform atau media atau tempat dari podcast atau senior itu berada di mungkin bisa bentuknya berupa podcast seperti di Spotify. Atau mungkin di apa namanya?
homostoria_01	0:13:35	0:13:47	YouTube yang ada visualnya juga, gitu ya. Jadi kita bisa menikmati visual dan juga suara. Atau malah justru di YouTube sendiri itu cuma audio malahan ya. Itu juga bisa.
homostoria_01	0:13:47	0:13:51	Sebenarnya visualnya cuma sekedar visual gitu ya, biar bisa masuk.
homostoria_01	0:13:51	0:13:56	Biar formatnya tuh mp4, nggak mp3.
homostoria_01	0:13:56	0:13:57	Iya, bener.
homostoria_01	0:13:57	0:13:58	Ya, itu sih kurang lebih.
homostoria_01	0:13:58	0:14:06	Jadi podcast di sini atau siniar ini mungkin e... berkaitan ya. Berkaitan dengan platform atau media digital justru.
homostoria_01	0:14:06	0:14:13	Yang isinya tentu konten orang ngomong, orang ngobrol, orang berbicara, cerita, dan lain sebagainya.
homostoria_01	0:14:13	0:14:15	Kalau dari kamu mirip mana nih?
homostoria_01	0:14:15	0:14:17	Oke, oke.
homostoria_01	0:14:17	0:14:19	Jadi mirip-mirip kayak radio, nggak sih, Cub?
homostoria_01	0:14:19	0:14:24	Kayak radio. Cuma kelebihannya, bedanya dari radio, ini on demand.
homostoria_01	0:14:24	0:14:34	Jadi kita bisa milih episode mana yang kita pengen dengerin, walaupun itu udah kelewatan seminggu, dua hari, atau mungkin sebulan, setahun.
homostoria_01	0:14:34	0:14:38	Kita bisa dengerinnya kapanpun sesuai kemauan kita.
homostoria_01	0:14:38	0:14:41	Ini kita coba kutip aja, Cub.
homostoria_01	0:14:41	0:14:45	Ya, moga-moga cukup legit ya ini websitenya.
homostoria_01	0:14:45	0:14:49	Aku ambil dari salah satu artikel di gramedia.com.
homostoria_01	0:14:49	0:14:57	Di sini podcast adalah sebuah rekaman hasil audio yang bisa didengarkan oleh khalayak umum melalui media internet.
homostoria_01	0:14:57	0:15:00	Fakta unik soal podcast.
homostoria_01	0:15:00	0:15:06	Jadi ternyata podcast itu dipopulerkan oleh jurnalis dari The Guardian.
homostoria_01	0:15:06	0:15:08	The Guardian itu dari mana berarti?
homostoria_01	0:15:08	0:15:08	British ya?
homostoria_01	0:15:08	0:15:09	Inggris, ya?
homostoria_01	0:15:09	0:15:10	Inggris, Inggris.
homostoria_01	0:15:10	0:15:11	Nah.
homostoria_01	0:15:11	0:15:12	Dari Inggris.
homostoria_01	0:15:12	0:15:13	Tahun 2004.
homostoria_01	0:15:13	0:15:20	Jadi, pertama kali si jurnalis The Guardian ini namanya Ben Hammersley.
homostoria_01	0:15:20	0:15:21	Ya, mohon maaf.
homostoria_01	0:15:21	0:15:24	Seperti saya juga pronunciation saya salah.
homostoria_01	0:15:24	0:15:28	Saya tidak begitu lancar berbahasa Inggris. Hehehe
homostoria_01	0:15:28	0:15:32	Itu dia menggunakan kata itu sejak tahun 2004.
homostoria_01	0:15:32	0:15:39	Dari tahun 2004 dan keluar, dan menyebar sampai, atau eksis sampai sekarang.
homostoria_01	0:15:39	0:15:51	Tapi menariknya itu ya, Cub, ya? Terutama di masa-masa itu media-media besar, jurnalis, itu berperan penting dalam melahirkan kata-kata baru yang pada akhirnya populer.
homostoria_01	0:15:51	0:16:00	Populernya tuh bukan cuma waktu itu aja, tapi bisa kayak kata podcast ini yang bisa eksis dan sering dipakai sampai sekarang.
homostoria_01	0:16:00	0:16:00	Itu.
homostoria_01	0:16:00	0:16:05	Keren sih menurutku.
homostoria_01	0:16:05	0:16:24	Ya, itu, e..., menarik ya. Karena kalau misalnya kita lihat, sebenernya kata podcast, "Pod" dan "Cast". Ya, itu mungkin anak Sastra Inggris lebih tahu ya, atau orang ekspert dalam bahasa Inggris lebih tahu ya. Jadi kayak "Pod" dan "Cast"  itu mungkin ada kaitannya dengan definisi-definisi dari podcast itu, gitu ya, atau "Pod" dan "Cast" gitu ya.
homostoria_01	0:16:24	0:16:26	Iya iya.
homostoria_01	0:16:26	0:16:32	Atau ini mungkin, kayak ini. Aku nggak tau ya Cub ya. Kita agak ngelebar dikit.
homostoria_01	0:16:32	0:16:37	Kayak dulu namanya desktop sama laptop.
homostoria_01	0:16:37	0:16:46	Laptop cuma perangkat yang ditaruh di lap, di pangkuan.
homostoria_01	0:16:46	0:16:53	Desktop, cuma perangkat, dalam hal ini komputer yang bisa ditaruh di atas meja.
homostoria_01	0:16:53	0:16:57	Konteksnya kenapa dinamakan desktop?
homostoria_01	0:16:57	0:17:03	Karena zaman dulu, komputer itu saking gedenya nggak bisa taruh di atas meja.
homostoria_01	0:17:03	0:17:07	Karena ada penemuan kecil, kita bisa mengecilkan ukurannya itu.
homostoria_01	0:17:07	0:17:09	Jadi namanya desktop.
homostoria_01	0:17:09	0:17:13	Jadi bukan karena cuma bisa ditaruh doang. Karena dulu ukurannya besar.
homostoria_01	0:17:13	0:17:16	Jadinya nama itu kelihatannya wah gitu.
homostoria_01	0:17:16	0:17:18	Oke, itu mungkin...
homostoria_01	0:17:18	0:17:22	Mungkin kita juga harus bahas sih, nama-nama ,soal, soal nama-nama kayak gitu.
homostoria_01	0:17:22	0:17:25	Mungkin di siniar-siniar, episode-episode, berikutnya bisa kita bahas.
homostoria_01	0:17:25	0:17:32	Tapi sekarang kita lanjut ke pembahasan kita soal podcast-podcast favorit kita masing-masing.
homostoria_01	0:17:32	0:17:34	Oke, Cub. Kita masuk sekarang.
homostoria_01	0:17:34	0:17:36	Podcast-podcast favorit.
homostoria_01	0:17:36	0:17:55	Kalau buat lo sendiri, itu ada nggak sih podcast yang ketika kamu dengerin podcast itu, kamu tuh ngerasa ada sesuatu yang, apa ya, mengguncang, mengoyak-ngoyak hati kamu, seolah-olah jadi kamu dipaksa untuk merefleksikan diri. 
homostoria_01	0:17:55	0:18:05	Semacam pengalaman-pengalaman spiritual yang kamu temui atau kamu jalani bersama podcasters ini. Ada ga sih, Cub?
homostoria_01	0:18:05	0:18:05	Ada, dong!
homostoria_01	0:18:05	0:18:11	Mungkin yang boleh aku sebut di awal itu tuh "Daniel Tetangga Kamu". 
homostoria_01	0:18:11	0:18:47	Nah, ini agak-agak apa ya, nggak terlalu. Ya, ini mainstream lah sebenernya. Cuman mungkin karena momen ya. Jadi momen itu ada waktu, ada situasi, kondisi, dan juga suasana hati mungkin itu yang menjadikan hal yang biasa itu menjadi lebih ya, beyond something lah. Nah, e... aku gak tau kalau ternyata Daniel ini, atau kata lah si podcaster atau pemilik podcast ini tuh punya podcast ya. Pokoknya punya podcast gitu. Ternyata ada gitu.
homostoria_01	0:18:47	0:18:51	Nah, kenapa bisa, bisa, ketemu nih podcast gitu ya?
homostoria_01	0:18:51	0:19:14	Karena ceritanya dulu tuh pernah sempat ada yang namanya viral-viral, e..., UAS, Ustadz Abdul Somad. Itu tuh pernah disemacam apa ya? dijegal, ditangkap atau tidak diperbolehkan untuk mengisi pengajian atau ceramah di Singapur.
homostoria_01	0:19:14	0:19:20	Nah, waktu itu, ya mungkin itu orang tuh banyak yang..., ya itu pro kontra lah ya.
homostoria_01	0:19:20	0:19:24	Ada yang setuju. Ada yang enggak, gitu ya.
homostoria_01	0:19:24	0:19:47	Nah, mungkin. Tapi terlepas dari itu semua, justru hal yang aku lebih soroti itu adalah loh Ini Daniel nih, Chinese-Indonesian gitu ya. Abis itu, yang bersangkutan itu tuh bukan muslimgitu, tetapi yang bersangkutan atau Daniel itu tuh dia mau membawa dan menghadirkan UAS. Kebayang ga sih?
homostoria_01	0:19:47	0:19:51	E..., apa namanya. Pasti kita bertanyakan, apa sih yang terjadi gitu ya?
homostoria_01	0:19:51	0:20:02	Cuma waktu itu emang headline di short, ya. Karena waktu itu tuh, kita itu kalau ke YouTube tuh paling cepet kan ke short dulu ya. Jadi potongan-potongannya dulu apa? gitu ga sih?
homostoria_01	0:20:02	0:20:13	Selalu kalo itu mah.  Nah, iya, makanya. Cuma aku jadi nggak yakin. Karena waktu itu yang beredar itu adalah Daniel itu katanya mu'alaf gitu, pindah Islam gara-gara sama UAS.
homostoria_01	0:20:13	0:20:13	Oh.
homostoria_01	0:20:13	0:20:15	Iya, iya, iya.
homostoria_01	0:20:15	0:20:22	Itu pas pas, isunya tuh setelah ke tempatnya Abdul Somad, Ustadz Abdul Somad, jadi mu'alaf.
homostoria_01	0:20:22	0:20:24	Soalnya waktu itu, itu rame banget.
homostoria_01	0:20:24	0:20:25	Nah,
homostoria_01	0:20:25	0:20:29	Itu kan jadi kayak, ah kayaknya nggak masuk lah.
homostoria_01	0:20:29	0:20:34	Nggak masuk dalam artian kayak, wah ini terlalu memotong banyak hal gitu kan.
homostoria_01	0:20:34	0:20:44	Makanya abis itu aku coba cari podcastnya dari Daniel itu yang bener-bener ngebahas full bersama Ustadz Abdul Somad.
homostoria_01	0:20:44	0:21:20	Nah, dari situlah biasa ya kalau misal ada sesuatu yang bersebrangan, berlintasan. Itu tuh aku selalu tertarik gitu ya. Karena disini e... Daniel itu justru yang mendatangi gitu ya, bukan Ustadz Abdul Somad yang dia harus mendeklarasikan, bikin pernyataan apalah-apalah gitu. Justru malah orang non-islam ini tuh yang datang kepada Abdul Somad dan yang bersangkutan itu ingin belajar gitu. Judulnya itu ingin belajar. Nah, itu kan jadi, wow, kenapa gitu ya?
homostoria_01	0:21:20	0:21:39	Jadi selama Daniel itu bikin podcast atau mungkin, bukan selama bikin podcast, ya waktu itu bikin podcast di tempatnya Abdul Somad dan juga yang bersangkutan si Daniel ini juga datang ke Riau. Nah, ini juga menurutku unik gitu nggak sih?
homostoria_01	0:21:39	0:21:57	Anak muda gitu ya, atau mungkin masyarakat umum gitu mendatangi ulama gitu. Itu menurutku sesuatu yang, ini, ini sangat berbeda gitu dibanding dengan podcast yang lain. Karena podcast yang lain tuh bisa jadi kayak, ya, mengundang dalam artian kayak mereka disuruh datang kesini.
homostoria_01	0:21:57	0:22:20	Gitu bukan? Kita yang kesana. Itu malah sebaliknya, di apa? Hostnya, Daniel ini mendatangi narasumbernya. Konten ini, Abdul Somad, dan mungkin malah yang diapresiasi dari ini dia malah lebih apa ya, lebih menghormati daripada orang-orang yang lain mungkin kali ya?
homostoria_01	0:22:20	0:22:47	Mungkin, ya, kurang lebih ya. Kalo kita pakai sudut pandang dan indikator menghormati seperti itu, gitu ya. Karena mungkin, karena kita kan masih di lingkungan Asia, Indonesia, dan kita juga mayoritas muslim. Jadi mungkin itu yang terbenak dalam kita, bahwa "Oh, standar dari yang memang menghormati atau yang luar biasa, mungkin itu sebenarnya". 
homostoria_01	0:22:47	0:22:55	Nah, dari situlah hal yang membuat aku jadi penasaran gitu lho, "Kenapa sampai jauh-jauh datang? Gitu. 
homostoria_01	0:22:55	0:23:52	Dan, aku pikir ini, apa namanya? Ini yang sangat menginspirasi aku ya untuk memulai dari awal sampai akhir yang enggak dipotong-potong ya. Intinya ketika si Daniel ini datang ke UAS ya, yang bersangkutan atau si Daniel ini mendapati bahwa ternyata tuh ada banyak ada banyak kesamaan antara UAS dan Daniel ya, khususnya di ruang-ruang spiritualisme atau transendental atau berkaitan dengan keagamaan gitu ya, bahasa umumnya. Nah, itu untuk mereka. Tapi ketika aku secara personal yang mendengar, ada beberapa hal yang itu tuh ternyata mengingatkan ku pada diriku sendiri, yaitu adalah bagaimana UAS itu tuh bersikap kepada orang tua atau ibunya, yang mana beberapa keputusan besar dalam hidup itu selalu menyertakan ibu atau orang tuanya.
homostoria_01	0:23:52	0:24:32	Nah, keputusan besar seperti, kalau bisa itu menuntut ilmu setinggi-tingginya, habis itu menjadi hafiz, menghafalkan Qur'an, belajar di sana dulu, setelah ini belajar itu, dan juga banyak hal lain yang menurutku ternyata dalam perjalanan UAS itu hampir beberapa keputusan besar dalam hidup itu tuh ada kaitannya dengan orang tua, yang mana itu sangat berbeda atau jauh sekali dengan ide atau gagasan orang-orang muda hari ini atau mungkin termasuk aku, bahwa harusnya kita independen, ya gak sih?
homostoria_01	0:24:32	0:24:38	Atau kita sebagai anak muda ya terserah kita. Kita yang menentukan gitu gak sih?
