Audio file	Start	End	Text
Hari Minggoean_001	0:04:37	0:05:25	Aku gak tau gak bisa mengucapkan dengan benar dan dengan ingat nama setelah zigi nya itu pokoknya ini Semua Ikan di Langit karya Ziggy yang mana itu kalau gak salah menang dari sayam barah bukan IKJ, IKJ itu Dewan Kesenian Jakarta, DIKJ tahun menang novel oke ini, sorry nih aku lagi ada di luar dan banyak motor berseliweran semoga kalian tidak terlalu terganggu ini motornya udah balik kita lanjutin lagi Jadi novelnya ini, Semua Ikan di Langit, itu saya ingatkan ya, itu menang D
Hari Minggoean_001	0:05:25	0:05:30	KJ tahun 2016, menang novel.
Hari Minggoean_001	0:05:30	0:05:32	Saya membayar novel di KJ 2016.
Hari Minggoean_001	0:05:32	0:05:39	Dan menurutku emang, aku sebenarnya nggak banyak baca in general.
Hari Minggoean_001	0:05:39	0:05:41	Lebih lagi aku baca novel.
Hari Minggoean_001	0:05:41	0:05:43	Itu lebih dikit banget aku.
Hari Minggoean_001	0:05:43	0:05:56	Dan nggak banyak novel yang aku baca selama ini. Dan salah satu novel, yang bukan novel lebih tepatnya novelette mungkin, karena sedikit dan.
Hari Minggoean_001	0:05:56	0:06:05	Tipis, itu Le Petit Prince. Dan itu karya fenomenal banget di seluruh dunia.
Hari Minggoean_001	0:06:05	0:06:57	Dan semua ikan di langit, somehow ada sesuatu yang mirip dengan Le Petit Prince. Mungkin bukan secara substansial ya, tapi lebih ke gaya berekspresinya. Itu menurutku imaginatif, liar, dan bisa dibilang mungkin absurd banget. Dan sesuatu ide, pemikirannya disampaikan secara absurd, dengan menggunakan bahasa-bahasa figuratif, dengan menggunakan metafora-metafora, Aku suka disitu, di Le Petit Prince kita dijejeli, ketahuan banget ya Saya lama di Jawa teman-teman Dan emang orang Jawa sebenernya Tapi masalah Jawa-Jawa ini kita.
Hari Minggoean_001	0:06:57	0:07:06	bahas nantilah. Le Petit Prince ini Sesuatu.
Hari Minggoean_001	0:07:06	0:07:16	Yang absurd dari sana adalah ada sebuah seorang pangeran mahluk yang tinggal di luar
Hari Minggoean_001	0:07:16	0:07:29	angkasa tanpa tanpa apapun tanpa pesawat ruang angkasa tanpa pesawat shuttle shuttle kok Pesawat.
Hari Minggoean_001	0:07:29	0:08:04	Ulang aling, dia ga pake baju astronot segala macem, dia tinggalinnya bukan di planet tapi cuma di asteroid Dan disitu ada pohon, mawar, mawar juga bisa bicara dia keliling planet pake burung terus ada hewan yang bisa bicara terus nanti kita juga tau ada planet-planet yang isinya cuma ada satu orang yang tugasnya tuh ada yang cuma matiin lampu ada yang cuma mambuk-mabukkan.
Hari Minggoean_001	0:08:04	0:08:08	Ada yang ada satu planet isinya tuh.
Hari Minggoean_001	0:08:08	0:09:08	Cuma raja yang rajanya tuh mengakui punya semua bisa memerintah semua orang padahal ya itu tadi yang selalu ditahan itu cuma rajanya doang gimana dia mau memerintah atau melakukan kuasanya that's absurd dan di Semua Ikan di Langit itu keabsurdan yang paling jelas adalah dari tokoh utamanya. Tokoh utama kita ini seorang bis. Bis yang membawa seorang anak misterius keliling luar angkasa, yang keliling angkasa, keliling dunia juga. Terus si bus ini tuh ngomong atau berinteraksi bisa tahu isi pikiran orang atau hewan itu dari dari setiap kaki yang menyentuh badannya Badan di dalam busnya itu.
Hari Minggoean_001	0:09:08	0:09:13	Terus ada kecowak juga, kecowa luar angkasa.
Hari Minggoean_001	0:09:13	0:09:17	Yang bisa Yang dianggap paling pinter lah.
Hari Minggoean_001	0:09:17	0:09:27	Terus Ada banyak lah Karena Karena ada Bukunya yang jelas lebih tebel daripada Le Petit Prince.
Hari Minggoean_001	0:09:27	0:09:51	Prince dan itu banyak, luas banget di dunianya juga ada pohon, kayak ada pohon keramat pohon yang tua banget, bukan lebih tua dari semesta, setua semesta itu hampir setua semesta itu sendiri yang tau segala ilmu, segala pengetahuan, segala peristiwa-peristiwa yang pernah
Hari Minggoean_001	0:09:51	0:09:57	terjadi di alam semesta itu cukup gokil.
Hari Minggoean_001	0:09:57	0:09:59	Sih menurutku.
Hari Minggoean_001	0:09:59	0:10:03	Dan pesan apa yang disampaikan...
Hari Minggoean_001	0:10:03	0:10:08	Ya... Semua orang bisa menginterpretasikannya beda-beda lah ya, bebas.
Hari Minggoean_001	0:10:08	0:10:17	Tapi menurutku cara penyampaian yang... Yang itu tadi, ya dengan cara yang absurd, dengan cara...
Hari Minggoean_001	0:10:17	0:10:20	Yang simbolik, itu aku suka banget.
Hari Minggoean_001	0:10:20	0:10:24	Dan ini kerasa banget ada di...
Hari Minggoean_001	0:10:24	0:10:31	Buku Semua Ikan di Langit. Oh enggak tau ya, bakal mau bahas.
Hari Minggoean_001	0:10:31	0:10:35	Buku ini di episode sendiri atau enggak.
Hari Minggoean_001	0:10:35	0:10:40	Atau aku nulis sesuatu, ter-review tentang buku ini atau apapun yang aku pikirkan tentang.
Hari Minggoean_001	0:10:40	0:10:46	Buku ini Tapi sebenarnya ini menarik Pasti.
Hari Minggoean_001	0:10:46	0:10:58	Ada lah, enggak ketang tulisan atau apa itu bakal aku coba tuangin pendapatku soal buku ini. Oke, itu. Dan selain...
Hari Minggoean_001	0:10:58	0:11:04	Sebenernya aku bukan orang yang sering baca. Tetapi...
Hari Minggoean_001	0:11:04	0:11:08	Ya, aku memaksakan untuk membaca karena aku.
Hari Minggoean_001	0:11:08	0:11:13	Tahu membaca itu penting dan membaca itu melatih otak.
Hari Minggoean_001	0:11:13	0:11:28	Melatih otak itu juga... Apa ya? Salah satu ketakutan ku tuh... Takut jadi orang tua yang gak bisa ngapa-ngapain. Orang tua dalam arti bukan orang tua yang punya anak, tapi orang tua, orang yang berumur tua.
Hari Minggoean_001	0:11:28	0:11:31	Yang sepuh.
Hari Minggoean_001	0:11:31	0:11:49	Yang berusia lanjut, yang udah kepala 6, kepala 7. Itu banyak diantara orang tua yang daya pikirnya kurang, daya ingatannya kurang, karena emang jarang dilatih dari masa-masa produktifnya. Dan aku nggak kepengen kayak gitu, menurutku.
Hari Minggoean_001	0:11:49	0:11:53	Itu apa ya, aku gak pengen, menurutku.
Hari Minggoean_001	0:11:53	0:11:58	Itu nyusahin dan aku gak kepengen itu nyusahin ke anak-anakku besok atau ke orang-orang.
Hari Minggoean_001	0:11:58	0:12:02	Di sekitarku besok, itu aneh lah gak.
Hari Minggoean_001	0:12:02	0:12:51	Nyaman buatku, jadi aku usahakan untuk terus membaca tiap hari walaupun ya membaca itu sulit banget, 2 hari satu eh 2 hari, 2 halaman sehari itu juga bisa ngos-ngosan harus ngelawan malesnya itu juga gila-gilaan Jadi memang kebanyakan aku mendapatkan informasi atau mencari pikiran lebih tepatnya, bukan informasi Masih salah juga sih emang dari video visual, jadi konten audio visual yang kebanyakan dari Youtube Sebenernya banyak video yang aku tonton dan banyak juga yang menarik, cuma disini ada satu yang aku catat Karena kalau aku baca, itu aku nggak baca satu buku sampe abis, tapi aku baca beberapa.
Hari Minggoean_001	0:12:51	0:12:55	Buku yang nggak tau abisnya kapan Nah.
Hari Minggoean_001	0:12:55	0:13:02	Salah satu buku yang aku baca, sedang baca, itu satu novel dari novelis Jepang.
Hari Minggoean_001	0:13:02	0:13:05	Untuk orang yang suka buku, aku rasa.
Hari Minggoean_001	0:13:05	0:13:11	Semua orang tahu nama ini, Haruki Murakami. Dan juga aku lagi baca karyanya juga.
Hari Minggoean_001	0:13:11	0:13:14	Cukup fenomenal Aku ga bisa bilang bagus.
Hari Minggoean_001	0:13:14	0:13:25	Atau engga ya Aku sejauh ini punya buku yang lebih favorit dari buku yang aku baca ini dari pengarang yang sama Tapi yang lagi aku baca sekarang ini.
Hari Minggoean_001	0:13:25	0:13:32	Norwegian Wood Itu oke lah, tapi sejauh.
Hari Minggoean_001	0:13:32	0:13:43	Ini Buku favoritku dari Murakami itu judulnya apa yaa Colorless Tsukuru.
Hari Minggoean_001	0:13:43	0:13:47	Bahasa Jepangnya aku nggak tau kayaknya.
Hari Minggoean_001	0:13:47	0:13:55	Nggak pernah inget bahasa Jepang. Tapi kalau nggak salah, Colorless Tsukuru itu.
Hari Minggoean_001	0:13:55	0:14:03	Menurutku lebih menarik daripada Norwegian Wood.
Hari Minggoean_001	0:14:03	0:14:16	Dan dari wajian buku itu aku bacanya bentuknya PDF sih Sedangkan kalau yang Karla Tsukuru itu aku bacanya Versi buku yang ngecetak, ya itu bekas sih, itu juga punya temen Tapi ternyata memang mengembal lebih.
Hari Minggoean_001	0:14:16	0:14:26	Menyenangkan dari baca dari buku sih Ya, pokoknya Secara karya nggak begitu paham soal.
Hari Minggoean_001	0:14:26	0:14:43	Murah kami, nggak begitu eksplor banyak Tapi secara Apa ya sebutannya, secara person ya, ya jelas aku gak kenal, tapi aku lebih ngikutin orangnya gitu loh daripada karyanya.
Hari Minggoean_001	0:14:43	0:14:50	Jadi kayak trik-trik pendapatnya menurut kami soal.
Hari Minggoean_001	0:14:50	0:15:13	Sesuatu, terutama soal menulis atau soal tulisan suka aku kulik-kulik entah aku searching-searching di google atau aku cari-cari video-videonya yang ngebahas di youtube nah tiba-tiba, bukan tiba-tiba juga pada masa itu emang lagi sering ngecek.
Hari Minggoean_001	0:15:13	0:15:35	Murakami dan ada di beranda youtube ku itu satu channel satu episode yang ngebahas kenapa penulis sekarang itu menurut Murakami pada ukuran yang keren ya, aku gak nonton.
Hari Minggoean_001	0:15:35	0:16:07	Video itu sampe abis tapi ada bagian yang menarik di awal Karena, jadi salah satunya kenapa penulis sekarang itu tulisannya pada apa ya, kalau aku nyebutnya sih nggak penuh Itu karena penulis yang baru relatif menyepelekan ketahanan fisik Padahal menulis berkarya, atau mungkin kita bisa tarik berkarya dalam bentuk apapun dalam media apapun, itu juga membicarakan.
Hari Minggoean_001	0:16:07	0:16:13	Soal ketahanan Ya, ya bisa aja.
Hari Minggoean_001	0:16:13	0:16:24	Dia punya ide yang bagus, punya teknik. Misalnya kalau dia pelukis, teknik pelukis yang bagus dan segala macam. Tapi kalau dia nggak punya stamina yang
Hari Minggoean_001	0:16:24	0:16:28	bagus, dia nggak bisa ngerjain itu sampai
Hari Minggoean_001	0:16:28	0:16:39	rampung atau dalam periode yang panjang. Dan sedangkan, ya kita tahulah, ngerjain sepotong-sepotong itu pertama jadi nggak jelas apa yang.
Hari Minggoean_001	0:16:39	0:16:41	Mau Ya, nggak fokus lah.
Hari Minggoean_001	0:16:41	0:16:48	Ini jadi nggak fokus apa yang pengen dituangkan lewat sebuah karya itu.
Hari Minggoean_001	0:16:48	0:16:53	Jadi ya, bakal aneh lah kalau misalnya.
Hari Minggoean_001	0:16:53	0:17:12	Stamina itu nggak banyak, implikasinya jadi kerjanya itu sebentar-sebentar dan kalau sebentar-sebentar itu gampng ke-distract dan tujuan utama atau kefokusan dalam menentukan oh ini tujuanku ini titik.
Hari Minggoean_001	0:17:12	0:17:18	Yang aku ingin sampai tapi karena sering
Hari Minggoean_001	0:17:18	0:17:57	break-Break itu seling berhenti-berhenti entah itu itungannya jam atau mungkin hari besoknya itu bikin kita jadi susah fokus, jadi lupa apa sih yang aku pikirin kemarin dan segala macem dan itu membuat sebuah karya jadinya agak berantakan, agak kebingungan mencari visinya karena visinya berubah-ubah setiap kali kita ngerjain karena kerjainya itu kepotong-potong Itu, dan Murakami ini juga terkenal karena penulis yang suka banget olahraga, utamanya lari. Dan sebenernya aku into sama Murakami karena
Hari Minggoean_001	0:17:57	0:18:02	dia tahu dia suka lari sih.
Hari Minggoean_001	0:18:02	0:18:18	Habis itu baru... eksplorasi lebih lanjut soal karya-karyanya dia ngeluarin apa aja sih dan thoughtsnya atau pikirannya soal lari atau secara umum itu dari mana apa aja itu ya karena waktu
Hari Minggoean_001	0:18:18	0:18:29	Itu banget aku relate sama itu, aku lagi seneng-senengnya lari yang mana
Hari Minggoean_001	0:18:29	0:18:37	Sejujurnya staminaku juga jelek sih sebenernya dibandingkan temen-temenku yang lain, staminaku jelek banget.
Hari Minggoean_001	0:18:37	0:18:45	Jadi ada sebuah kepuasan dari diriku kalau bisa berlari.
Hari Minggoean_001	0:18:45	0:19:29	Saya berlari-berlari, aku mendapatkan kayak apa namanya? sebuah refreshment, otak jadi segar, kemudian badan juga ya walaupun memang capek, tapi juga kerasa lebih sehat, lebih fit, sendi-sendi itu kayak aktif kembali dan segala macem dan terutama pemikiran sih, pemikiran itu jadi bisa lebih plong, bisa lebih ngeliat sesuatu lebih jernih, nggak cloudy, nggak berpikiran terlalu negatif dan ya seharusnya aku lari lebih banyak karena belakangan aku udah gak lari hampir sebulan gak lari sama sekali hampir sebulan gak lari sama sekali pun kalau lari.
Hari Minggoean_001	0:19:29	0:19:33	Itu cuma 20 menit itu juga sekali.
Hari Minggoean_001	0:19:33	0:19:36	Dua kali yang aku bilang sebulan kemarin.
Hari Minggoean_001	0:19:36	0:19:43	Payahlah ya pokoknya kayaknya aku harus mulai
Hari Minggoean_001	0:19:43	0:19:50	merutinkan lari itu. Kemudian aku juga baca.
Hari Minggoean_001	0:19:50	0:19:55	Buku Hidden Potential dari aduh aku lupa.
Hari Minggoean_001	0:19:55	0:19:59	Lagi namanya Grant siapa gitu, nama belakangnya
Hari Minggoean_001	0:19:59	0:20:03	Grant. Ada satu konsep di buku ini.
Hari Minggoean_001	0:20:03	0:20:44	Yang menurutku menarik yang aku catat disini adalah a minimum lovable product ini lagi, buku ini, eh pada chapter ini lagi ngebahas soal imperfection bahwa sesuatu itu tidak harus dicari bentuk sempurnanya tapi kita juga bisa mendapatkan sesuatu, menikmati sesuatu yang notabene kita anggap imperfect Apa yang dimaksud a minimum loveable product Itu maksudnya sebuah produk, sebuah karya, sebuah pemikiran atau apapun itu.
Hari Minggoean_001	0:20:44	0:21:08	Yang kita hasilkan Yang bisa didapet, yang disukain Pokoknya sekedar disukain aja Jadi tujuannya Jadi yang Mungkin apa ya, lebih ke Minimumnya tadi Kata minimum Minimum itu cukup.
Hari Minggoean_001	0:21:08	0:21:40	Maksimum itu bagian perfectnya. Jadi kita membuat produk yang cukup disukain aja. Ya, nggak bisa dibilang bagus banget, nggak semua orang suka juga, tapi ya kalau misalnya orang melihat sebuah produk, sebuah karya, atau apapun itu yang kita kerjakan, Atau mereka bilangnya, oke lah bisa dinikmati Itu mungkin bahasanya, bahasaku tuh membuat sebuah area atau sebuah ya apapun itu, sebuah produk.
Hari Minggoean_001	0:21:40	0:21:46	Yang bolehlah cukup Aku bisa memakai, it's.
Hari Minggoean_001	0:21:46	0:22:00	Useful, berguna, it's enjoyable, kalau misalnya itu sebuah tontonan atau sebuah hiburan. Oke, menurutku ini menghibur, enjoyable, and that's it, cukup. Dan dari situ kita perbaikin segala macam bla bla bla bla bla bla bla.
Hari Minggoean_001	0:22:00	0:22:05	Ada beberapa caranya dan aku rasa nggak
Hari Minggoean_001	0:22:05	0:22:43	begitu penting untuk dibahas, tapi pada dasarnya konsepnya itu Membuat sesuatu yang cukup aja, gak usah perfect Cukup, disukain, gak dibenci Atau mungkin itu ya bahasa yang lebih pas lagi menurutku adalah Membuat sesuatu yang tidak dibenci sama orang Itu dulu Gak usah yang bagus, gak usah yang apa Yang penting diterima, selesai Dari situ kita belajar, dari situ Kita dapat pengalaman apa yang bisa di improve dan segala macemnya.
Hari Minggoean_001	0:22:43	0:22:52	Dan nah, begitu lah Membuat sesuatu yang minimum, yang cukup Nah, di minggu kemarin.
Hari Minggoean_001	0:22:52	0:22:59	Juga aku Ke Jogja Fashion Week Yang mana itu sebuah pengalaman yang sangat menarik.
Hari Minggoean_001	0:22:59	0:23:14	Buatku Jadi, aku punya temen deket dari SMA dan temen deketku ini ngajak Aku main. Itu malam minggu tuh eh malam minggu apa malam jumat ya?
Hari Minggoean_001	0:23:14	0:23:15	Malam...Oh.
Hari Minggoean_001	0:23:15	0:23:24	Malam... apa malam kemis? malam jumat eh malam sabtu deng malam sabtu sabtu mal...eh jumat.
Hari Minggoean_001	0:23:24	0:23:30	Malam sabtu malam sabtu nah iya malam sabtu.
Hari Minggoean_001	0:23:30	0:23:32	Malam Sabtu, ya dia kerja di
Hari Minggoean_001	0:23:32	0:23:36	Jakarta Dia pasnya juga udah nikah Istrinya.
Hari Minggoean_001	0:23:36	0:23:39	Tuh stay di Jogja Jadi dia ada.
Hari Minggoean_001	0:23:39	0:23:56	Beberapa waktu Hampir sebulan sekali Dua bulan sekali atau pada long weekend utamanya Dia tuh mesti pulang Nah di kepulangannya dia ke Jogja Pada kemarin itu dia ngajakin.
Hari Minggoean_001	0:23:56	0:24:01	Ngajakin jalan.
Hari Minggoean_001	0:24:01	0:24:03	Bingung? Kayaknya istrinya.
Hari Minggoean_001	0:24:03	0:24:07	Sih Istrinya ngajak ke Jogja Fashion Week.
Hari Minggoean_001	0:24:07	0:24:14	Nah ke Jogja Fashion Week tuh juga bukan dia suka fashion dan segala macem Bukan diantara kita gak ada yang suka-suka.
Hari Minggoean_001	0:24:14	0:24:22	Fashion banget Tapi kakaknya dari istrinya temanku.
Hari Minggoean_001	0:24:22	0:24:41	Itu Ada buka semacam galeri lah di Jogja Fashion Week kakainya ini bukan sembarangan orang kakainya ini seniman terkenal se-Indonesia mungkin orang nggak ngerti banyak seniman ya tapi.
Hari Minggoean_001	0:24:41	0:24:46	Kalau misalnya seniman, utamanya seni rupa di.
Hari Minggoean_001	0:24:46	0:24:52	skena-skena itu aku rasa nggak mungkin nggak ada yang tahu nama ini beliau namanya.
Hari Minggoean_001	0:24:52	0:24:58	Eko Nugroho dia perupa utamanya sih kayaknya.
Hari Minggoean_001	0:24:58	0:25:03	Pelukis punya studio patung juga kalau nggak salah. And that's.
Hari Minggoean_001	0:25:03	0:25:07	Cool, man. Dia pokoknya.
Hari Minggoean_001	0:25:07	0:25:25	Mendalami seni rupa. Dan dia itu juga punya satu IP yang menarik menurutku, namanya DGTMB atau Daging Tumbuh. Sebenernya kalau dilihat Daging Tumbuh itu kayak tumor gitu ya, tumor kayak kanker. Tumor lah.
Hari Minggoean_001	0:25:25	0:25:52	Bukan kanker. Sebenarnya ini IP komik yang sebenarnya itu tumbuh atau muncul dari keresahannya Mas Eko ini Dia merasa komik kok susah-susah dibikin tapi kok
Hari Minggoean_001	0:25:52	0:26:02	dibajak sama orang dari situ dia punya inisiatif, gimana kalau misalnya aku bikin komik.
Hari Minggoean_001	0:26:02	0:26:09	Dan komiknya itu nanti dijual dan setelah.
Hari Minggoean_001	0:26:09	0:26:14	Dijual, kalau misalnya komiknya itu mau difotokopi.
Hari Minggoean_001	0:26:14	0:26:17	Gak apa-apa, gak ada copyrightnya and that's.
Hari Minggoean_001	0:26:17	0:26:28	Cool man, itu konsep yang sangat merakyat yang anti-kapitalisme Bukan anti-kapitalisme ya? Ya, kinda, kinda Agak-agak anti-kapitalisme.
Hari Minggoean_001	0:26:28	0:26:29	Agak-agak. Tapi.
Hari Minggoean_001	0:26:29	0:26:29	Nggak.
Hari Minggoean_001	0:26:29	0:26:33	Kayak gitu sebenarnya. Kayak ada.
Hari Minggoean_001	0:26:33	0:26:41	Perlawanan bahwa, sungguh bukan anti-kapitalisme juga ya? Kok ada.
Hari Minggoean_001	0:26:41	0:26:44	Karya yang tidak dihargai? Mendingan tidak.
Hari Minggoean_001	0:26:44	0:27:06	Dihargai sekalian. Mungkin semangatnya semacam-semacam seperti itu. Aku sempat ikut seminarnya dan di situ Mas Eko dan teman-teman kolega-koleganya yang pernah bekerja sama-sama dia juga menceritakan pengalamannya bagaimana daging tumbuh ini tumbuh, berkembang seiring pergembangan zaman tapi.
Hari Minggoean_001	0:27:06	0:27:17	Alasannya yang jelas itu ada komik susah dibuat tapi dibajak akhirnya dia ngelawan ide.
Hari Minggoean_001	0:27:17	0:27:35	Itu, ngelawan gagasan itu, ngelawan fenomena itu dengan cara membuat komik yang tetap dijual Tapi kalau misalnya ada yang mau memfotokopi karya itu, karya komik itu, enggak masalah. Atau minta fotokopian, dipinjam dulu, terus buat fotokopi doang.
Hari Minggoean_001	0:27:35	0:27:38	Enggak masalah. Nah, itu.
Hari Minggoean_001	0:27:38	0:28:20	Pertama yang bikin Mas Eko doang. Kemudian berkembang ke Dia nyari komikus-komikus yang lainnya untuk berkontribusi di DGTMB ini. Oke lah, jadi kemana-mana kan. Aku kayaknya pengen ngebahas ini juga di unit lain lah, di episode lain atau mungkin di tulisan. tapi intinya DGTMB ini pada akhirnya juga membuat sebuah lini baru yaitu lini clothing dan lini clothing ini yang kita kunjungi dan kenapa alasan Fariz dan istrinya mengunyi Jogja Fashion Week.
Hari Minggoean_001	0:28:20	0:28:22	Ke mana? ke salah.
Hari Minggoean_001	0:28:22	0:28:54	Satu showroom salah satu ya ke tempat lini clothingnya di GTMB ini di Jogja Fashion Week oke dari sana itu udah lihat-lihat belanja-belanja, beli nah kebetulan banget di pas itu itu juga ada oh iya sebelum kita masuk ke event yang pengen aku bahas ini Aku juga pengen ngomong.
Hari Minggoean_001	0:28:54	0:29:07	Kalau, serius sumpah, di Jogja Fashion Week itu banyak brand-brand clothing lokal yang bagus gila desainnya. Bagus gila.
Hari Minggoean_001	0:29:07	0:29:08	Kebanyakan warnanya.
Hari Minggoean_001	0:29:08	0:29:21	Natural. Kayak warna daun, warna tanah, ada yang batik juga. Dan design wise, it's really cool. Dan aku.
Hari Minggoean_001	0:29:21	0:29:32	Nggak tau itu sebenernya dia laku apa nggak, gimana produksinya dia gimana, terus secara bisnis dia untung apa nggak, sehat atau nggak. Tapi yang.
Hari Minggoean_001	0:29:32	0:29:36	Jelas bagus-bagus. Aku nggak.
Hari Minggoean_001	0:29:36	0:29:45	Begitu mendalami soal bisnis fashion, tapi aku harap tidak seburuk yang aku bayangkan lah. Nah, itu.
Hari Minggoean_001	0:29:45	0:29:49	Aja. Nah, sekarang kita masuk. Habis itu.
Hari Minggoean_001	0:29:49	0:29:53	Aku nonton catwalk pertama kalinya di Jogja.
Hari Minggoean_001	0:29:53	0:29:57	Fashion Week ini. Dan, wah!
Hari Minggoean_001	0:29:57	0:29:58	Suatu pengalaman.
Hari Minggoean_001	0:29:58	0:30:06	Yang baru. Gimana ya?
Hari Minggoean_001	0:30:06	0:30:08	Bajunya sebenarnya.
Hari Minggoean_001	0:30:08	0:30:15	Kalau boleh jujur, aku nggak tahu itu bagusnya di mana. Dalam artian.
Hari Minggoean_001	0:30:15	0:30:32	Aku bukan bilang ini jelek ya, tapi aku masih belum punya sense untuk memaknai sebuah karya seni dari fashion. Karena aku percaya untuk memahami dengan lebih utuh, itu.
Hari Minggoean_001	0:30:32	0:30:35	Tuh harus.
Hari Minggoean_001	0:30:35	0:31:46	Menjadi pelaku, gak ketang sekedar coba-cobalah, at least coba-coba Bukan yang nyemplung terus jadi profesional dan mempertaruhkan hidup disitu Gak gitu juga, gak harus gitu juga, tapi seenggaknya harus mencoba Atau mungkin setidaknya tahu lebih dalam Dan aku masih belum mendalami soal fashion Gak pernah juga nyoba-nyoba Dan ya itulah, aku masih banyak penasaran, pengen banyak ikut event-event kayak gitu Untuk jadi lebih tau apa sih yang dicari, apa sih titik yang dianggap estetik dari sini Apakah pesannya, atau mungkin dari lipetan-lipetan bajunya Atau Bagaimana model-model itu melenggak di atas catwalk, di atas panggung Aku pasti pengen cari tahu itu Sekali lagi teman-teman, untuk yang mendengarkan, yang iseng banget mendengarkan sampai sejauh ini Karena siniar ini sebenarnya sangat ngalor ngidul dan aneh Saya tidak menghina.
